Player,Season,Age,Tm,Lg,G,MP,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,All NBA
Trevor Ariza,2013-14,28,WAS,NBA,77,2723,77,7.4,16.1,4.0,7.8,3.4,8.4,2.8,3.7,1.9,7.1,9.0,3.6,2.4,0.4,2.5,3.4,20.9,0.456,0.509,0.407,0.562,0.772,0.59,0
Dwight Howard,2012-13,27,LAL,NBA,76,2722,76,8.8,15.2,8.8,15.1,0.0,0.1,6.6,13.5,4.7,13.0,17.6,2.0,1.6,3.5,4.2,5.4,24.2,0.578,0.581,0.16699999999999998,0.579,0.4920000000000001,0.573,1
Thaddeus Young,2013-14,25,PHI,NBA,79,2718,78,10.4,22.9,8.8,17.7,1.6,5.2,2.9,4.1,3.0,5.5,8.5,3.2,3.0,0.6,2.9,3.8,25.2,0.454,0.496,0.308,0.489,0.7120000000000001,0.512,0
DeMar DeRozan,2017-18,28,TOR,NBA,80,2711,80,11.7,25.7,10.1,20.5,1.6,5.2,8.4,10.2,1.1,4.7,5.7,7.6,1.5,0.4,3.2,2.7,33.5,0.456,0.494,0.31,0.488,0.825,0.555,1
LeBron James,2015-16,31,CLE,NBA,76,2709,76,14.0,26.9,12.3,21.5,1.7,5.4,6.8,9.3,2.1,8.6,10.7,9.8,2.0,0.9,4.7,2.7,36.5,0.52,0.573,0.309,0.551,0.731,0.588,1
Anthony Davis,2016-17,23,NOP,NBA,75,2708,75,13.9,27.6,13.2,25.2,0.7,2.4,9.4,11.7,3.1,12.9,16.0,2.8,1.7,3.0,3.3,3.0,38.0,0.505,0.524,0.299,0.518,0.802,0.58,1
Zach Randolph,2013-14,32,MEM,NBA,79,2705,79,11.1,23.7,11.0,23.3,0.0,0.4,4.9,6.7,5.2,10.5,15.7,3.9,1.1,0.5,3.6,4.1,27.1,0.467,0.474,0.1,0.468,0.742,0.51,0
Joe Johnson,2015-16,34,TOT,NBA,81,2703,81,7.1,16.1,4.8,10.2,2.2,5.9,2.2,2.7,0.9,4.6,5.5,6.0,1.1,0.1,3.0,2.7,18.6,0.439,0.471,0.383,0.509,0.831,0.5379999999999999,0
Kevin Durant,2018-19,30,GSW,NBA,78,2702,78,12.7,24.4,10.3,17.5,2.4,6.8,7.9,8.9,0.6,8.2,8.8,8.0,1.0,1.5,4.0,2.7,35.7,0.521,0.5870000000000001,0.353,0.5710000000000001,0.885,0.631,1
Ben Simmons,2018-19,22,PHI,NBA,79,2700,79,9.4,16.8,9.4,16.7,0.0,0.1,4.5,7.5,3.0,9.2,12.2,10.7,2.0,1.1,4.8,3.7,23.4,0.563,0.5660000000000001,0.0,0.563,0.6,0.5820000000000001,0
Stephen Curry,2015-16,27,GSW,NBA,79,2700,79,14.4,28.6,7.2,12.7,7.2,15.9,6.5,7.2,1.2,6.5,7.7,9.4,3.0,0.3,4.7,2.9,42.5,0.504,0.5660000000000001,0.45399999999999996,0.63,0.9079999999999999,0.669,1
Monta Ellis,2014-15,29,DAL,NBA,80,2699,80,11.3,25.3,9.7,20.0,1.5,5.3,4.3,5.7,0.6,2.9,3.6,6.1,2.8,0.5,3.7,3.7,28.3,0.445,0.487,0.285,0.475,0.752,0.509,0
Damian Lillard,2016-17,26,POR,NBA,75,2694,75,12.2,27.4,8.2,16.8,3.9,10.7,9.0,10.0,0.8,5.9,6.8,8.1,1.3,0.4,3.6,2.8,37.3,0.444,0.4920000000000001,0.37,0.516,0.895,0.586,0
Tyreke Evans,2014-15,25,NOP,NBA,79,2690,76,10.2,22.8,8.8,18.3,1.3,4.4,3.9,5.7,1.6,6.5,8.1,10.2,2.0,0.7,4.8,3.9,25.6,0.447,0.482,0.304,0.477,0.6940000000000001,0.508,0
Greg Monroe,2013-14,23,DET,NBA,82,2690,82,9.5,19.1,9.5,19.1,0.0,0.0,4.5,6.9,4.8,9.5,14.3,3.2,1.7,0.9,3.1,3.9,23.5,0.4970000000000001,0.4970000000000001,0.0,0.4970000000000001,0.657,0.531,0
Josh Richardson,2017-18,24,MIA,NBA,81,2689,81,7.4,16.5,5.1,10.3,2.4,6.3,2.2,2.7,1.3,4.0,5.3,4.3,2.3,1.4,2.6,3.7,19.5,0.451,0.495,0.378,0.523,0.845,0.551,0
Paul George,2016-17,26,IND,NBA,75,2689,75,11.6,25.1,7.9,15.9,3.6,9.2,6.3,7.0,1.1,8.1,9.2,4.7,2.2,0.5,4.1,3.8,33.0,0.461,0.501,0.393,0.534,0.898,0.5870000000000001,0
