Player,Season,Age,Tm,Lg,G,MP,GS,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All NBA
Russell Westbrook\westbru01,2016-17,28,OKC,NBA,81,2802,81,30.6,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,112,104,8.5,4.6,13.1,0.22399999999999998,8.7,2.4,11.1,9.3,1
Eric Bledsoe\bledser01,2014-15,25,PHO,NBA,81,2800,81,18.4,0.26,0.42200000000000004,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,107,106,4.1,2.9,7.0,0.11900000000000001,1.6,0.5,2.1,2.9,0
Gordon Hayward\haywago01,2013-14,23,UTA,NBA,77,2800,77,16.2,0.271,0.369,2.5,14.0,8.0,24.1,2.1,1.1,15.0,23.1,104,111,2.2,1.5,3.6,0.062,1.0,-0.2,0.8,2.0,0
Kevin Love\loveke01,2013-14,25,MIN,NBA,77,2797,77,26.9,0.355,0.445,8.5,29.5,18.7,21.4,1.0,1.0,10.3,28.8,120,104,10.6,3.7,14.3,0.245,8.3,0.6,8.9,7.7,1
CJ McCollum\mccolcj01,2016-17,25,POR,NBA,80,2796,80,19.9,0.305,0.204,2.4,9.1,5.7,18.0,1.3,1.2,9.9,27.5,114,113,6.2,1.4,7.6,0.131,3.4,-1.4,2.0,2.8,0
Marc Gasol\gasolma01,2012-13,28,MEM,NBA,80,2796,80,19.5,0.016,0.364,7.6,18.9,13.1,19.1,1.6,4.1,13.5,19.2,115,98,6.1,5.4,11.5,0.19699999999999998,2.1,3.1,5.2,5.1,1
LeBron James\jamesle01,2016-17,32,CLE,NBA,74,2794,74,27.0,0.254,0.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,119,108,9.8,3.0,12.9,0.221,6.4,1.2,7.6,6.7,1
Joe Johnson\johnsjo02,2014-15,33,BRK,NBA,80,2791,80,14.1,0.32899999999999996,0.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,105,110,2.6,1.5,4.1,0.07,0.7,-0.8,-0.1,1.3,0
LaMarcus Aldridge\aldrila01,2012-13,27,POR,NBA,74,2790,74,20.4,0.011000000000000001,0.264,7.2,20.9,14.0,13.0,1.2,2.5,8.9,26.5,108,107,4.8,2.3,7.2,0.124,1.7,-0.4,1.3,2.3,0
Kentavious Caldwell-Pope\caldwke01,2015-16,22,DET,NBA,76,2789,76,12.4,0.384,0.23800000000000002,2.6,8.6,5.5,7.8,2.0,0.5,9.0,18.2,107,107,2.6,2.7,5.3,0.092,-1.1,0.8,-0.3,1.2,0
John Wall\walljo01,2015-16,25,WAS,NBA,77,2784,77,19.8,0.243,0.255,1.7,13.8,7.6,46.2,2.5,1.7,17.5,28.6,102,104,2.2,3.5,5.7,0.098,3.1,0.4,3.5,3.9,0
Chandler Parsons\parsoch01,2013-14,25,HOU,NBA,74,2783,74,15.9,0.35600000000000004,0.22399999999999998,2.9,12.8,8.2,17.3,1.6,0.8,11.7,19.3,114,108,5.1,2.5,7.6,0.131,1.5,0.2,1.7,2.6,0
Wesley Matthews\matthwe02,2013-14,27,POR,NBA,82,2780,82,15.7,0.506,0.298,2.0,9.1,5.6,10.9,1.4,0.4,8.8,19.6,118,110,6.3,1.9,8.2,0.142,1.9,0.1,1.9,2.7,0
CJ McCollum\mccolcj01,2015-16,24,POR,NBA,80,2780,80,17.7,0.33,0.158,1.8,8.3,5.0,21.6,1.7,0.6,11.4,27.1,108,110,4.4,1.7,6.0,0.10400000000000001,2.3,-1.0,1.3,2.3,0
Andre Iguodala\iguodan01,2012-13,29,DEN,NBA,80,2779,80,15.2,0.327,0.307,3.4,13.5,8.5,22.4,2.5,1.5,17.1,18.8,105,105,2.4,3.2,5.6,0.09699999999999999,1.2,1.4,2.6,3.3,0
James Harden\hardeja01,2013-14,24,HOU,NBA,73,2777,73,23.5,0.401,0.552,2.6,10.7,6.9,27.3,2.1,0.8,15.0,27.8,120,107,10.1,2.7,12.8,0.221,5.4,0.2,5.6,5.3,1
Trevor Ariza\arizatr01,2016-17,31,HOU,NBA,80,2773,80,12.4,0.695,0.158,2.1,15.9,9.0,8.8,2.5,0.6,7.9,14.1,113,108,2.8,3.2,6.0,0.10400000000000001,-0.1,1.1,1.0,2.1,0
Chandler Parsons\parsoch01,2012-13,24,HOU,NBA,76,2758,76,15.3,0.42100000000000004,0.165,3.3,13.2,8.3,15.6,1.4,0.9,12.7,18.3,113,108,4.9,2.1,7.0,0.121,2.0,0.0,2.0,2.8,0
Mike Conley\conlemi01,2012-13,25,MEM,NBA,80,2757,80,18.3,0.312,0.3,1.8,7.9,4.8,29.5,3.4,0.7,15.1,21.0,111,100,5.1,4.7,9.9,0.172,2.3,2.3,4.6,4.6,0
Al Horford\horfoal01,2012-13,26,ATL,NBA,74,2756,74,19.8,0.006,0.196,8.2,23.0,15.7,15.3,1.5,2.2,11.3,21.8,110,102,4.7,4.1,8.8,0.153,1.3,0.6,1.9,2.7,0
Giannis Antetokounmpo\antetgi01,2017-18,23,MIL,NBA,75,2756,75,27.3,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,116,106,8.3,3.6,11.9,0.207,5.3,0.9,6.2,5.7,1
Lance Stephenson\stephla01,2013-14,23,IND,NBA,78,2752,78,14.7,0.28,0.226,4.1,18.1,11.4,22.1,1.0,0.2,18.0,19.4,106,101,2.6,4.8,7.4,0.13,0.4,1.0,1.3,2.3,0
Russell Westbrook\westbru01,2015-16,27,OKC,NBA,80,2750,80,27.6,0.23600000000000002,0.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,115,103,10.0,4.0,14.0,0.245,6.4,1.4,7.8,6.8,1
Rudy Gobert\goberru01,2016-17,24,UTA,NBA,81,2744,81,23.3,0.002,0.762,13.6,29.5,21.8,5.7,0.9,6.4,15.0,16.7,129,99,8.3,6.0,14.3,0.25,2.2,2.2,4.4,4.4,1
